challenge_group,transaction_description,category
unseen_merchant,VENDORELM PAYMENT REF 917721,Rent
ambiguous_description,ONLINE TXN 917721,Rent
known_merchant_noisy_description,UPI-LANDLORDNEFT-511675,Rent
unseen_merchant,UPI-VENDORELM-511675,Rent
ambiguous_description,PAYMENT REF 511675,Rent
known_merchant_noisy_description, landlordneft  DEL  txn 972257 ,Rent
unseen_merchant,vendorelm  DEL  txn 972257,Rent
ambiguous_description,PAYMENT REF 972257,Rent
known_merchant_noisy_description,POS/LANDLORDNEFT/KOL/335025,Rent
unseen_merchant,POS/VENDORELM/KOL/335025,Rent
ambiguous_description,PAYMENT REF 335025,Rent
known_merchant_noisy_description,LANDLORDNEFT INDIA PVT LTD PAYREF504424,Rent
unseen_merchant,VENDORELM PAYMENT REF 504424,Rent
ambiguous_description,POS PURCHASE 504424,Rent
known_merchant_noisy_description,UPI-LANDLORDNEFT-171328,Rent
unseen_merchant,UPI-VENDORELM-171328,Rent
ambiguous_description,POS PURCHASE 171328,Rent
known_merchant_noisy_description, landlordneft  MUM  txn 912341 ,Rent
unseen_merchant,vendorelm  MUM  txn 912341,Rent
ambiguous_description,POS PURCHASE 912341,Rent
known_merchant_noisy_description,POS/LANDLORDNEFT/MUM/733628,Rent
unseen_merchant,POS/VENDORELM/MUM/733628,Rent
ambiguous_description,ONLINE TXN 733628,Rent
known_merchant_noisy_description,LANDLORDNEFT INDIA PVT LTD PAYREF375360,Rent
unseen_merchant,VENDORELM PAYMENT REF 375360,Rent
ambiguous_description,ONLINE TXN 375360,Rent
known_merchant_noisy_description,UPI-EMPLOYERCORPPAYROLL-592215,Salary
unseen_merchant,UPI-VENDORFABLE-592215,Salary
ambiguous_description,POS PURCHASE 592215,Salary
known_merchant_noisy_description, employercorppayroll  BLR  txn 870951 ,Salary
unseen_merchant,vendorfable  BLR  txn 870951,Salary
ambiguous_description,PAYMENT REF 870951,Salary
known_merchant_noisy_description,POS/EMPLOYERCORPPAYROLL/KOL/543485,Salary
unseen_merchant,POS/VENDORFABLE/KOL/543485,Salary
ambiguous_description,ONLINE TXN 543485,Salary
known_merchant_noisy_description,EMPLOYERCORPPAYROLL INDIA PVT LTD PAYREF488883,Salary
unseen_merchant,VENDORFABLE PAYMENT REF 488883,Salary
ambiguous_description,ONLINE TXN 488883,Salary
known_merchant_noisy_description,UPI-EMPLOYERCORPPAYROLL-226201,Salary
unseen_merchant,UPI-VENDORFABLE-226201,Salary
ambiguous_description,UPI PAYMENT 226201,Salary
known_merchant_noisy_description, employercorppayroll  KOL  txn 684861 ,Salary
unseen_merchant,vendorfable  KOL  txn 684861,Salary
ambiguous_description,UPI PAYMENT 684861,Salary
known_merchant_noisy_description,POS/EMPLOYERCORPPAYROLL/HYD/781738,Salary
unseen_merchant,POS/VENDORFABLE/HYD/781738,Salary
ambiguous_description,PAYMENT REF 781738,Salary
known_merchant_noisy_description,EMPLOYERCORPPAYROLL INDIA PVT LTD PAYREF137452,Salary
unseen_merchant,VENDORFABLE PAYMENT REF 137452,Salary
ambiguous_description,POS PURCHASE 137452,Salary
known_merchant_noisy_description,UPI-EMPLOYERCORPPAYROLL-269402,Salary
unseen_merchant,UPI-VENDORFABLE-269402,Salary
ambiguous_description,ONLINE TXN 269402,Salary
known_merchant_noisy_description, employercorppayroll  KOL  txn 230071 ,Salary
unseen_merchant,vendorfable  KOL  txn 230071,Salary
ambiguous_description,UPI PAYMENT 230071,Salary
known_merchant_noisy_description,POS/EMPLOYERCORPPAYROLL/PUN/257666,Salary
unseen_merchant,POS/VENDORFABLE/PUN/257666,Salary
ambiguous_description,PAYMENT REF 257666,Salary
known_merchant_noisy_description,EMPLOYERCORPPAYROLL INDIA PVT LTD PAYREF253533,Salary
unseen_merchant,VENDORFABLE PAYMENT REF 253533,Salary
ambiguous_description,PAYMENT REF 253533,Salary
known_merchant_noisy_description,UPI-LOCALKIRANASTORE-990714,Shopping
unseen_merchant,UPI-VENDORGROVE-990714,Shopping
ambiguous_description,POS PURCHASE 990714,Shopping
known_merchant_noisy_description, reliancetrends  PUN  txn 651206 ,Shopping
unseen_merchant,vendorgrove  PUN  txn 651206,Shopping
ambiguous_description,UPI PAYMENT 651206,Shopping
known_merchant_noisy_description,POS/LOCALKIRANASTORE/CHN/236348,Shopping
unseen_merchant,POS/VENDORGROVE/CHN/236348,Shopping
ambiguous_description,POS PURCHASE 236348,Shopping
known_merchant_noisy_description,AMAZONIN INDIA PVT LTD PAYREF520396,Shopping
unseen_merchant,VENDORGROVE PAYMENT REF 520396,Shopping
ambiguous_description,UPI PAYMENT 520396,Shopping
known_merchant_noisy_description,UPI-MYNTRA-348262,Shopping
unseen_merchant,UPI-VENDORGROVE-348262,Shopping
ambiguous_description,POS PURCHASE 348262,Shopping
known_merchant_noisy_description, amazonin  CHN  txn 497050 ,Shopping
unseen_merchant,vendorgrove  CHN  txn 497050,Shopping
ambiguous_description,ONLINE TXN 497050,Shopping
known_merchant_noisy_description,POS/FLIPKART/HYD/588019,Shopping
unseen_merchant,POS/VENDORGROVE/HYD/588019,Shopping
ambiguous_description,POS PURCHASE 588019,Shopping
known_merchant_noisy_description,LOCALKIRANASTORE INDIA PVT LTD PAYREF958394,Shopping
unseen_merchant,VENDORGROVE PAYMENT REF 958394,Shopping
ambiguous_description,ONLINE TXN 958394,Shopping
known_merchant_noisy_description,UPI-RELIANCETRENDS-864799,Shopping
unseen_merchant,UPI-VENDORGROVE-864799,Shopping
ambiguous_description,UPI PAYMENT 864799,Shopping
known_merchant_noisy_description, amazonin  AHM  txn 427310 ,Shopping
unseen_merchant,vendorgrove  AHM  txn 427310,Shopping
ambiguous_description,PAYMENT REF 427310,Shopping
known_merchant_noisy_description,POS/RELIANCETRENDS/MUM/588543,Shopping
unseen_merchant,POS/VENDORGROVE/MUM/588543,Shopping
ambiguous_description,ONLINE TXN 588543,Shopping
known_merchant_noisy_description,MYNTRA INDIA PVT LTD PAYREF384122,Shopping
unseen_merchant,VENDORGROVE PAYMENT REF 384122,Shopping
ambiguous_description,ONLINE TXN 384122,Shopping
known_merchant_noisy_description,UPI-UBER-206986,Transport
unseen_merchant,UPI-VENDORHARBOR-206986,Transport
ambiguous_description,ONLINE TXN 206986,Transport
known_merchant_noisy_description, rapido  KOL  txn 757265 ,Transport
unseen_merchant,vendorharbor  KOL  txn 757265,Transport
ambiguous_description,PAYMENT REF 757265,Transport
known_merchant_noisy_description,POS/DELHIMETRO/BLR/388611,Transport
unseen_merchant,POS/VENDORHARBOR/BLR/388611,Transport
ambiguous_description,PAYMENT REF 388611,Transport
known_merchant_noisy_description,UBER INDIA PVT LTD PAYREF977638,Transport
unseen_merchant,VENDORHARBOR PAYMENT REF 977638,Transport
ambiguous_description,UPI PAYMENT 977638,Transport
known_merchant_noisy_description,UPI-INDIANOILPETROLPUMP-227135,Transport
unseen_merchant,UPI-VENDORHARBOR-227135,Transport
ambiguous_description,POS PURCHASE 227135,Transport
known_merchant_noisy_description, indianoilpetrolpump  AHM  txn 378959 ,Transport
unseen_merchant,vendorharbor  AHM  txn 378959,Transport
ambiguous_description,PAYMENT REF 378959,Transport
known_merchant_noisy_description,POS/UBER/DEL/966889,Transport
unseen_merchant,POS/VENDORHARBOR/DEL/966889,Transport
ambiguous_description,PAYMENT REF 966889,Transport
known_merchant_noisy_description,DELHIMETRO INDIA PVT LTD PAYREF671347,Transport
unseen_merchant,VENDORHARBOR PAYMENT REF 671347,Transport
ambiguous_description,ONLINE TXN 671347,Transport
known_merchant_noisy_description,UPI-RAPIDO-914978,Transport
unseen_merchant,UPI-VENDORHARBOR-914978,Transport
ambiguous_description,PAYMENT REF 914978,Transport
known_merchant_noisy_description, indianoilpetrolpump  MUM  txn 262631 ,Transport
unseen_merchant,vendorharbor  MUM  txn 262631,Transport
ambiguous_description,UPI PAYMENT 262631,Transport
known_merchant_noisy_description,POS/RAPIDO/HYD/368917,Transport
unseen_merchant,POS/VENDORHARBOR/HYD/368917,Transport
ambiguous_description,PAYMENT REF 368917,Transport
known_merchant_noisy_description,OLACABS INDIA PVT LTD PAYREF236385,Transport
unseen_merchant,VENDORHARBOR PAYMENT REF 236385,Transport
ambiguous_description,ONLINE TXN 236385,Transport
known_merchant_noisy_description,UPI-AIRTELBROADBAND-861077,Utilities
unseen_merchant,UPI-VENDORIVORY-861077,Utilities
ambiguous_description,PAYMENT REF 861077,Utilities
known_merchant_noisy_description, municipalwaterbill  PUN  txn 204382 ,Utilities
unseen_merchant,vendorivory  PUN  txn 204382,Utilities
ambiguous_description,POS PURCHASE 204382,Utilities
known_merchant_noisy_description,POS/MUNICIPALWATERBILL/AHM/119902,Utilities
unseen_merchant,POS/VENDORIVORY/AHM/119902,Utilities
ambiguous_description,ONLINE TXN 119902,Utilities
known_merchant_noisy_description,BESCOMELECTRICITY INDIA PVT LTD PAYREF469197,Utilities
unseen_merchant,VENDORIVORY PAYMENT REF 469197,Utilities
ambiguous_description,UPI PAYMENT 469197,Utilities
known_merchant_noisy_description,UPI-MUNICIPALWATERBILL-762954,Utilities
unseen_merchant,UPI-VENDORIVORY-762954,Utilities
ambiguous_description,POS PURCHASE 762954,Utilities
known_merchant_noisy_description, bescomelectricity  CHN  txn 104776 ,Utilities
unseen_merchant,vendorivory  CHN  txn 104776,Utilities
ambiguous_description,UPI PAYMENT 104776,Utilities
known_merchant_noisy_description,POS/AIRTELBROADBAND/BLR/128719,Utilities
unseen_merchant,POS/VENDORIVORY/BLR/128719,Utilities
ambiguous_description,PAYMENT REF 128719,Utilities
known_merchant_noisy_description,JIOFIBER INDIA PVT LTD PAYREF902719,Utilities
unseen_merchant,VENDORIVORY PAYMENT REF 902719,Utilities
ambiguous_description,UPI PAYMENT 902719,Utilities
known_merchant_noisy_description,UPI-JIOFIBER-430487,Utilities
unseen_merchant,UPI-VENDORIVORY-430487,Utilities
ambiguous_description,PAYMENT REF 430487,Utilities
known_merchant_noisy_description, municipalwaterbill  MUM  txn 140306 ,Utilities
unseen_merchant,vendorivory  MUM  txn 140306,Utilities
ambiguous_description,POS PURCHASE 140306,Utilities
known_merchant_noisy_description,POS/MUNICIPALWATERBILL/AHM/998224,Utilities
unseen_merchant,POS/VENDORIVORY/AHM/998224,Utilities
ambiguous_description,PAYMENT REF 998224,Utilities
known_merchant_noisy_description,MUNICIPALWATERBILL INDIA PVT LTD PAYREF549375,Utilities
unseen_merchant,VENDORIVORY PAYMENT REF 549375,Utilities
ambiguous_description,UPI PAYMENT 549375,Utilities
