bank_txn_id,timestamp,amount,direction,merchant,reference,payment_method
SYNTH-BANK-000114,2026-07-29 01:56:00,622.03,DEBIT,Apollo Pharmacy Ltd,UPI623654,UPI
SYNTH-BANK-000115,2026-05-04 18:32:00,1637.69,CREDIT,BOOKMYSHOW.COM,UPI388764,UPI
SYNTH-BANK-000116,2026-06-22 04:30:00,988.36,DEBIT,DECATHLON,UPI673002,CARD
SYNTH-BANK-000117,2026-05-31 09:28:00,1209.93,CREDIT,DECATHLON,UPI579165,NETBANKING
SYNTH-BANK-000118,2026-06-10 12:58:00,260.29,DEBIT,APOLLO,UPI986204,UPI
SYNTH-BANK-000119,2026-07-28 05:21:00,741.68,CREDIT,Reliance Retail Ltd,UPI384724,NETBANKING
SYNTH-BANK-000120,2026-05-26 03:04:00,1986.57,CREDIT,DECATHLON INDIA,UPI930814,WALLET
SYNTH-BANK-000122,2026-06-10 09:31:00,531.99,CREDIT,Decathlon Sports,UPI506687,WALLET
SYNTH-BANK-000123,2026-07-20 17:59:00,1350.19,CREDIT,Ola Mobility,UPI634591,NETBANKING
SYNTH-BANK-000125,2026-07-05 14:36:00,489.95,DEBIT,BOOKMYSHOW.COM,UPI884113,NETBANKING
SYNTH-BANK-000126,2026-07-23 06:16:00,3494.95,CREDIT,CROMA RETAIL,UPI529509,CARD
SYNTH-BANK-000127,2026-05-05 12:16:00,851.9,CREDIT,NYKAA.COM,UPI392854,CARD
SYNTH-BANK-000128,2026-05-23 15:57:00,1393.82,DEBIT,AMAZON PAY,UPI649363,NETBANKING
SYNTH-BANK-000129,2026-07-04 10:17:00,666.93,CREDIT,BIGBASKET INDIA,UPI725374,NETBANKING
SYNTH-BANK-000130,2026-07-18 04:53:00,374.96,CREDIT,BOOKMYSHOW,UPI301231,UPI
SYNTH-BANK-DUP-000131,2026-05-17 06:36:00,791.67,CREDIT,Big Basket,UPI647727,UPI
SYNTH-BANK-000131,2026-05-17 06:36:00,791.67,CREDIT,Big Basket,UPI647727,UPI
SYNTH-BANK-000132,2026-06-18 07:24:00,1909.14,DEBIT,Decathlon Sports,UPI116074,CARD
SYNTH-BANK-000133,2026-05-02 11:01:00,843.62,DEBIT,DOMINO'S PIZZA,UPI309360,WALLET
SYNTH-BANK-000134,2026-07-11 09:58:00,134.59,CREDIT,Uber Technologies,UPI170340,UPI
SYNTH-BANK-000135,2026-06-25 16:49:00,2589.16,CREDIT,DECATHLON,UPI696399,CARD
SYNTH-BANK-DUP-000136,2026-07-03 15:13:00,283.99,CREDIT,METRO CASH & CARRY,UPI756801,UPI
SYNTH-BANK-000136,2026-07-03 15:13:00,283.99,CREDIT,METRO CASH & CARRY,UPI756801,UPI
SYNTH-BANK-000137,2026-06-16 06:14:00,490.67,DEBIT,BIGBASKET,UPI217387,WALLET
SYNTH-BANK-000138,2026-07-27 16:11:00,330.53,CREDIT,Croma Electronics,UPI257326,NETBANKING
SYNTH-BANK-000139,2026-07-25 04:56:00,435.94,DEBIT,METRO CASH & CARRY,UPI691007,WALLET
SYNTH-BANK-000140,2026-07-11 01:15:00,657.77,DEBIT,Nykaa E-Retail,UPI317529,NETBANKING
SYNTH-BANK-000141,2026-05-24 14:03:00,233.88,CREDIT,MYNTRA PAY,UPI505792,WALLET
SYNTH-BANK-000142,2026-07-17 13:31:00,624.32,CREDIT,Big Basket,UPI405762,WALLET
SYNTH-BANK-000143,2026-07-08 05:08:00,316.64,DEBIT,RELIANCE RETAIL,UPI758144,NETBANKING
SYNTH-BANK-000144,2026-07-16 05:18:00,2371.13,DEBIT,APOLLO,UPI326275,UPI
SYNTH-BANK-000145,2026-06-02 03:31:00,742.27,CREDIT,UBER,UPI896582,WALLET
SYNTH-BANK-000146,2026-05-15 02:48:00,1726.58,CREDIT,Uber Technologies,UPI509252,CARD
SYNTH-BANK-000147,2026-07-02 11:26:00,1005.46,CREDIT,DECATHLON INDIA,UPI472917,NETBANKING
SYNTH-BANK-000148,2026-05-04 06:12:00,439.14,CREDIT,CROMA RETAIL,UPI783747,UPI
SYNTH-BANK-000149,2026-06-11 01:51:00,1731.21,CREDIT,DECATHLON INDIA,UPI323464,UPI
SYNTH-BANK-000150,2026-05-01 21:39:00,993.3,CREDIT,DOMINO'S PIZZA,UPI440053,UPI
SYNTH-BANK-000151,2026-05-03 08:09:00,674.97,CREDIT,RELIANCE DIGITAL,UPI764216,WALLET
SYNTH-BANK-000152,2026-07-10 19:53:00,1806.36,CREDIT,IRCTC RAIL,UPI981913,CARD
SYNTH-BANK-000153,2026-07-21 17:24:00,1507.12,CREDIT,Big Basket,UPI356326,WALLET
SYNTH-BANK-000154,2026-07-23 23:59:00,855.01,CREDIT,Swiggy India,UPI963857,NETBANKING
SYNTH-BANK-000155,2026-07-11 19:26:00,2785.23,CREDIT,DOMINOS INDIA,UPI402656,CARD
SYNTH-BANK-000156,2026-06-11 02:25:00,1918.57,CREDIT,Uber Technologies,UPI236173,UPI
SYNTH-BANK-000157,2026-05-03 01:13:00,1352.28,CREDIT,SWIGGY,UPI217829,WALLET
SYNTH-BANK-DUP-000158,2026-05-09 12:54:00,1715.62,CREDIT,CROMA,UPI988293,UPI
SYNTH-BANK-000158,2026-05-09 12:54:00,1715.62,CREDIT,CROMA,UPI988293,UPI
SYNTH-BANK-000159,2026-07-28 00:44:00,1138.8,DEBIT,DOMINO'S PIZZA,UPI332951,CARD
SYNTH-BANK-000160,2026-06-10 17:13:00,1833.43,DEBIT,Apollo Pharmacy Ltd,UPI876398,WALLET
SYNTH-BANK-000161,2026-07-22 10:38:00,828.8,CREDIT,DECATHLON INDIA,UPI978873,UPI
SYNTH-BANK-000162,2026-05-04 04:06:00,2085.38,CREDIT,SWIGGY*BLR,UPI516113,UPI
SYNTH-BANK-000163,2026-06-03 22:03:00,2397.2,CREDIT,BIGBASKET INDIA,UPI337127,UPI
SYNTH-BANK-000164,2026-07-04 21:11:00,426.54,DEBIT,ZOMATO,UPI150134,CARD
SYNTH-BANK-000166,2026-06-21 04:25:00,2862.04,CREDIT,UBER INDIA,UPI545139,UPI
SYNTH-BANK-DUP-000167,2026-06-01 08:00:00,1858.28,DEBIT,BOOKMYSHOW.COM,UPI217676,NETBANKING
SYNTH-BANK-000167,2026-06-01 08:00:00,1858.28,DEBIT,BOOKMYSHOW.COM,UPI217676,NETBANKING
SYNTH-BANK-000168,2026-06-24 23:06:00,763.59,CREDIT,Ola Mobility,UPI716613,UPI
SYNTH-BANK-000169,2026-06-17 18:47:00,1595.34,CREDIT,RELIANCE RETAIL,UPI246570,UPI
SYNTH-BANK-000171,2026-05-24 16:02:00,417.75,CREDIT,BIGBASKET,UPI135604,NETBANKING
SYNTH-BANK-000172,2026-05-26 00:38:00,780.43,CREDIT,FLIPKART PAY,UPI921201,UPI
SYNTH-BANK-000173,2026-07-28 14:16:00,604.1,CREDIT,IRCTC E-TICKETING,UPI405106,NETBANKING
SYNTH-BANK-000174,2026-05-21 17:03:00,1351.42,DEBIT,METRO INDIA,UPI281902,NETBANKING
SYNTH-BANK-000175,2026-07-23 22:36:00,844.8,CREDIT,DECATHLON INDIA,UPI129999,UPI
SYNTH-BANK-000177,2026-07-09 09:27:00,2161.58,CREDIT,UBER INDIA,UPI161259,CARD
SYNTH-BANK-000178,2026-07-23 19:27:00,1454.72,CREDIT,METRO INDIA,UPI994841,NETBANKING
SYNTH-BANK-000179,2026-06-29 10:27:00,972.94,DEBIT,IRCTC E-TICKETING,UPI822565,WALLET
SYNTH-BANK-000180,2026-06-01 16:44:00,1406.16,CREDIT,Myntra Designs,UPI188094,CARD
SYNTH-BANK-DUP-000181,2026-05-05 04:42:00,1392.72,CREDIT,Myntra Designs,UPI865430,CARD
SYNTH-BANK-000181,2026-05-05 04:42:00,1392.72,CREDIT,Myntra Designs,UPI865430,CARD
SYNTH-BANK-000182,2026-05-05 17:16:00,1300.79,DEBIT,DOMINO'S PIZZA,UPI891469,UPI
SYNTH-BANK-000183,2026-07-08 12:03:00,1240.46,CREDIT,APOLLO PHARMACY,UPI395026,WALLET
SYNTH-BANK-000184,2026-05-24 12:55:00,1387.09,CREDIT,URBANCLAP,UPI647545,NETBANKING
SYNTH-BANK-000185,2026-06-13 20:57:00,1291.52,DEBIT,MYNTRA PAY,UPI841520,UPI
SYNTH-BANK-000186,2026-07-10 23:59:00,659.16,CREDIT,BOOKMYSHOW,UPI933921,CARD
SYNTH-BANK-000187,2026-05-21 18:44:00,3085.33,CREDIT,DECATHLON INDIA,UPI836403,CARD
SYNTH-BANK-000188,2026-07-24 00:56:00,1612.85,DEBIT,NYKAA.COM,UPI334206,WALLET
SYNTH-BANK-000189,2026-05-17 15:10:00,913.05,CREDIT,SWIGGY,UPI834310,NETBANKING
SYNTH-BANK-000190,2026-05-24 15:29:00,635.89,DEBIT,DOMINOS INDIA,UPI335112,CARD
SYNTH-BANK-000191,2026-05-18 02:42:00,1539.91,CREDIT,URBANCLAP,UPI400103,NETBANKING
SYNTH-BANK-000192,2026-06-12 18:20:00,591.17,DEBIT,IRCTC E-TICKETING,UPI240662,NETBANKING
SYNTH-BANK-000193,2026-05-29 16:16:00,1929.74,DEBIT,CROMA RETAIL,UPI885277,NETBANKING
SYNTH-BANK-000194,2026-05-09 06:33:00,333.0,DEBIT,BIGBASKET,UPI409900,CARD
SYNTH-BANK-000195,2026-07-01 19:51:00,958.47,CREDIT,FLIPKART PAY,UPI507204,CARD
SYNTH-BANK-DUP-000196,2026-07-21 05:29:00,1721.32,CREDIT,BMS,UPI631951,WALLET
SYNTH-BANK-000196,2026-07-21 05:29:00,1721.32,CREDIT,BMS,UPI631951,WALLET
SYNTH-BANK-000197,2026-05-11 20:38:00,5889.55,CREDIT,METRO INDIA,UPI688356,NETBANKING
SYNTH-BANK-000198,2026-05-09 20:05:00,325.28,DEBIT,BOOKMYSHOW.COM,UPI539357,CARD
SYNTH-BANK-000199,2026-07-24 20:35:00,1811.33,CREDIT,OLA CABS,UPI431509,UPI
SYNTH-BANK-000200,2026-05-06 19:57:00,1233.59,CREDIT,IRCTC,UPI269317,NETBANKING
SYNTH-BANK-000201,2026-05-29 00:39:00,1021.18,CREDIT,ZOMATO*BANGALORE,UPI664256,NETBANKING
SYNTH-BANK-000202,2026-06-18 10:14:00,1284.57,CREDIT,Uber Technologies,UPI339091,WALLET
SYNTH-BANK-000203,2026-05-12 10:29:00,1666.23,CREDIT,SWIGGY*BLR,UPI918816,NETBANKING
SYNTH-BANK-DUP-000204,2026-06-08 23:51:00,2501.8,CREDIT,Nykaa E-Retail,UPI116968,NETBANKING
SYNTH-BANK-000204,2026-06-08 23:51:00,2501.8,CREDIT,Nykaa E-Retail,UPI116968,NETBANKING
SYNTH-BANK-000205,2026-06-10 07:25:00,1212.57,DEBIT,Zomato Ltd,UPI605807,WALLET
SYNTH-BANK-000206,2026-06-16 01:34:00,393.82,CREDIT,AMAZON PAY,UPI933930,WALLET
SYNTH-BANK-000207,2026-06-23 13:12:00,526.02,CREDIT,ZOMATO,UPI858208,CARD
SYNTH-BANK-000208,2026-07-04 04:23:00,6182.48,CREDIT,RELIANCE RETAIL,UPI294642,CARD
SYNTH-BANK-000209,2026-05-03 05:20:00,457.1,CREDIT,IRCTC E-TICKETING,UPI269293,CARD
SYNTH-BANK-000210,2026-05-19 18:24:00,1165.32,DEBIT,DOMINO'S PIZZA,UPI174940,WALLET
SYNTH-BANK-000211,2026-05-18 20:12:00,655.62,CREDIT,DECATHLON INDIA,UPI974862,UPI
SYNTH-BANK-000212,2026-05-29 01:28:00,753.47,DEBIT,FLIPKART,UPI655082,CARD
SYNTH-BANK-000213,2026-05-01 19:29:00,2876.5,DEBIT,AMAZON,UPI381812,CARD
SYNTH-BANK-000214,2026-05-22 23:38:00,2605.6,CREDIT,IRCTC,UPI537440,CARD
SYNTH-BANK-000215,2026-06-17 07:54:00,2706.78,DEBIT,DECATHLON INDIA,UPI656002,WALLET
SYNTH-BANK-DUP-000216,2026-06-05 16:05:00,1036.75,CREDIT,ZOMATO,UPI446214,NETBANKING
SYNTH-BANK-000216,2026-06-05 16:05:00,1036.75,CREDIT,ZOMATO,UPI446214,NETBANKING
SYNTH-BANK-000217,2026-05-27 05:56:00,1893.94,DEBIT,Reliance Retail Ltd,UPI842069,WALLET
SYNTH-BANK-000218,2026-07-16 05:09:00,529.66,CREDIT,Big Basket,UPI129333,CARD
SYNTH-BANK-000219,2026-05-08 14:23:00,120.57,CREDIT,FLIPKART PAY,UPI210083,CARD
SYNTH-BANK-000220,2026-06-08 05:17:00,3030.59,CREDIT,UBER INDIA,UPI548197,CARD
SYNTH-BANK-DUP-000221,2026-07-14 18:48:00,1692.56,CREDIT,ZOMATO,UPI289460,NETBANKING
SYNTH-BANK-000221,2026-07-14 18:48:00,1692.56,CREDIT,ZOMATO,UPI289460,NETBANKING
SYNTH-BANK-000222,2026-07-15 07:06:00,2485.75,CREDIT,RELIANCE DIGITAL,UPI432614,UPI
SYNTH-BANK-000223,2026-05-16 16:53:00,2957.51,CREDIT,Reliance Retail Ltd,UPI107175,WALLET
SYNTH-BANK-DUP-000224,2026-07-29 12:27:00,683.74,CREDIT,METRO INDIA,UPI876292,WALLET
SYNTH-BANK-000224,2026-07-29 12:27:00,683.74,CREDIT,METRO INDIA,UPI876292,WALLET
SYNTH-BANK-000226,2026-06-12 16:55:00,1583.03,DEBIT,APOLLO,UPI593445,NETBANKING
SYNTH-BANK-000227,2026-06-14 09:01:00,3160.07,CREDIT,AMAZON,UPI614946,UPI
SYNTH-BANK-000228,2026-05-06 00:46:00,3349.83,DEBIT,MYNTRA PAY,UPI200952,UPI
SYNTH-BANK-000229,2026-07-02 01:03:00,966.68,CREDIT,NYKAA.COM,UPI155189,WALLET
SYNTH-BANK-000230,2026-06-17 07:19:00,1643.65,CREDIT,Ola Mobility,UPI726605,WALLET
SYNTH-BANK-000231,2026-07-18 05:07:00,1768.0,DEBIT,NYKAA,UPI428542,WALLET
SYNTH-BANK-000232,2026-06-24 13:34:00,2539.78,DEBIT,DECATHLON INDIA,UPI188050,NETBANKING
SYNTH-BANK-000233,2026-06-21 17:41:00,830.0,DEBIT,FLIPKART,UPI107755,NETBANKING
SYNTH-BANK-000234,2026-07-29 05:19:00,2636.48,CREDIT,Nykaa E-Retail,UPI864408,WALLET
SYNTH-BANK-000235,2026-07-08 10:07:00,256.98,CREDIT,Zomato Ltd,UPI375518,UPI
SYNTH-BANK-000236,2026-07-27 18:40:00,714.26,CREDIT,Myntra Designs,UPI331855,UPI
SYNTH-BANK-DUP-000237,2026-06-20 08:21:00,1912.71,DEBIT,METRO RETAIL,UPI521067,WALLET
