case_id,bank_txn_id,ledger_id,true_status,exception_type
SYNTH-CASE-000024,SYNTH-BANK-000024,SYNTH-LEDGER-000024,MATCH,NONE
SYNTH-CASE-000025,SYNTH-BANK-000025,SYNTH-LEDGER-000025,MATCH,NONE
SYNTH-CASE-000026,SYNTH-BANK-000026,SYNTH-LEDGER-000026,AMOUNT_MISMATCH,AMOUNT_MISMATCH
SYNTH-CASE-000027,SYNTH-BANK-000027,SYNTH-LEDGER-000027,MATCH,NONE
SYNTH-CASE-000028,,SYNTH-LEDGER-000028,UNMATCHED_LEDGER,MISSING_BANK
SYNTH-CASE-000029,SYNTH-BANK-000029,SYNTH-LEDGER-000029,MATCH,NONE
SYNTH-CASE-000030,SYNTH-BANK-000030,SYNTH-LEDGER-000030,MATCH,NONE
SYNTH-CASE-000031,SYNTH-BANK-000031,SYNTH-LEDGER-000031,MATCH,NONE
SYNTH-CASE-000032,SYNTH-BANK-000032,,UNMATCHED_BANK,MISSING_LEDGER
SYNTH-CASE-000033,SYNTH-BANK-000033,SYNTH-LEDGER-000033,MATCH,NONE
SYNTH-CASE-000034,SYNTH-BANK-000034,SYNTH-LEDGER-000034,MATCH,NONE
SYNTH-CASE-000035,SYNTH-BANK-000035,SYNTH-LEDGER-000035,AMOUNT_MISMATCH,AMOUNT_MISMATCH
SYNTH-CASE-000036,SYNTH-BANK-000036,SYNTH-LEDGER-000036,MATCH,NONE
SYNTH-CASE-000037,SYNTH-BANK-000037,SYNTH-LEDGER-000037,MATCH,NONE
SYNTH-CASE-000038,SYNTH-BANK-000038,SYNTH-LEDGER-000038,MATCH,NONE
SYNTH-CASE-000039,SYNTH-BANK-000039,SYNTH-LEDGER-000039,MATCH,NONE
SYNTH-CASE-000040,SYNTH-BANK-000040,SYNTH-LEDGER-000040,MATCH,NONE
SYNTH-CASE-000041,SYNTH-BANK-000041,SYNTH-LEDGER-000041,MATCH,NONE
SYNTH-CASE-000042,SYNTH-BANK-000042,SYNTH-LEDGER-000042,MATCH,NONE
SYNTH-CASE-000043,SYNTH-BANK-000043,SYNTH-LEDGER-000043,AMOUNT_MISMATCH,AMOUNT_MISMATCH
SYNTH-CASE-000044,SYNTH-BANK-000044,SYNTH-LEDGER-000044,MATCH,NONE
SYNTH-CASE-000045,SYNTH-BANK-000045,SYNTH-LEDGER-000045,MATCH,NONE
SYNTH-CASE-000046,SYNTH-BANK-000046,SYNTH-LEDGER-000046,MATCH,NONE
SYNTH-CASE-000047,SYNTH-BANK-000047,SYNTH-LEDGER-000047,MATCH,NONE
SYNTH-CASE-000048,SYNTH-BANK-000048,SYNTH-LEDGER-000048,MATCH,NONE
SYNTH-CASE-000049,SYNTH-BANK-000049,SYNTH-LEDGER-000049,MATCH,NONE
SYNTH-CASE-000050,SYNTH-BANK-000050,SYNTH-LEDGER-000050,MATCH,NONE
SYNTH-CASE-000051,SYNTH-BANK-000051,SYNTH-LEDGER-000051,AMOUNT_MISMATCH,AMOUNT_MISMATCH
SYNTH-CASE-000052,SYNTH-BANK-000052,SYNTH-LEDGER-000052,MATCH,NONE
SYNTH-CASE-000053,SYNTH-BANK-000053,SYNTH-LEDGER-000053,MATCH,NONE
SYNTH-CASE-000054,SYNTH-BANK-000054,SYNTH-LEDGER-000054,AMOUNT_MISMATCH,AMOUNT_MISMATCH
SYNTH-CASE-000055,SYNTH-BANK-000055,SYNTH-LEDGER-000055,MATCH,NONE
SYNTH-CASE-000056,SYNTH-BANK-000056,SYNTH-LEDGER-000056,MATCH,NONE
SYNTH-CASE-000057,SYNTH-BANK-000057,SYNTH-LEDGER-000057,AMOUNT_MISMATCH,AMOUNT_MISMATCH
SYNTH-CASE-000058,SYNTH-BANK-000058,SYNTH-LEDGER-000058,MATCH,NONE
SYNTH-CASE-000059,SYNTH-BANK-000059,SYNTH-LEDGER-000059,AMOUNT_MISMATCH,AMOUNT_MISMATCH
SYNTH-CASE-000060,SYNTH-BANK-000060,SYNTH-LEDGER-000060,MATCH,NONE
SYNTH-CASE-000061,SYNTH-BANK-000061,SYNTH-LEDGER-000061,AMOUNT_MISMATCH,AMOUNT_MISMATCH
SYNTH-CASE-000062,SYNTH-BANK-000062,SYNTH-LEDGER-000062,DUPLICATE,DUPLICATE
SYNTH-CASE-000063,SYNTH-BANK-000063,SYNTH-LEDGER-000063,MATCH,NONE
SYNTH-CASE-000064,SYNTH-BANK-000064,SYNTH-LEDGER-000064,MATCH,NONE
SYNTH-CASE-000065,SYNTH-BANK-000065,SYNTH-LEDGER-000065,MATCH,NONE
SYNTH-CASE-000066,SYNTH-BANK-000066,SYNTH-LEDGER-000066,MATCH,NONE
SYNTH-CASE-000067,SYNTH-BANK-000067,SYNTH-LEDGER-000067,MATCH,NONE
SYNTH-CASE-000068,SYNTH-BANK-000068,SYNTH-LEDGER-000068,MATCH,NONE
SYNTH-CASE-000069,SYNTH-BANK-000069,SYNTH-LEDGER-000069,MATCH,NONE
SYNTH-CASE-000070,SYNTH-BANK-000070,SYNTH-LEDGER-000070,MATCH,NONE
SYNTH-CASE-000071,SYNTH-BANK-000071,SYNTH-LEDGER-000071,MATCH,NONE
SYNTH-CASE-000072,SYNTH-BANK-000072,SYNTH-LEDGER-000072,MATCH,NONE
SYNTH-CASE-000073,SYNTH-BANK-000073,SYNTH-LEDGER-000073,AMOUNT_MISMATCH,AMOUNT_MISMATCH
SYNTH-CASE-000074,SYNTH-BANK-000074,SYNTH-LEDGER-000074,MATCH,NONE
SYNTH-CASE-000075,SYNTH-BANK-000075,SYNTH-LEDGER-000075,AMOUNT_MISMATCH,AMOUNT_MISMATCH
SYNTH-CASE-000076,SYNTH-BANK-000076,SYNTH-LEDGER-000076,MATCH,NONE
SYNTH-CASE-000077,SYNTH-BANK-000077,SYNTH-LEDGER-000077,DUPLICATE,DUPLICATE
SYNTH-CASE-000078,SYNTH-BANK-000078,SYNTH-LEDGER-000078,MATCH,NONE
SYNTH-CASE-000079,SYNTH-BANK-000079,SYNTH-LEDGER-000079,MATCH,NONE
SYNTH-CASE-000080,SYNTH-BANK-000080,SYNTH-LEDGER-000080,MATCH,NONE
SYNTH-CASE-000081,SYNTH-BANK-000081,SYNTH-LEDGER-000081,MATCH,NONE
SYNTH-CASE-000082,SYNTH-BANK-000082,SYNTH-LEDGER-000082,AMOUNT_MISMATCH,AMOUNT_MISMATCH
SYNTH-CASE-000083,SYNTH-BANK-000083,SYNTH-LEDGER-000083,MATCH,NONE
SYNTH-CASE-000084,SYNTH-BANK-000084,SYNTH-LEDGER-000084,AMOUNT_MISMATCH,AMOUNT_MISMATCH
SYNTH-CASE-000085,SYNTH-BANK-000085,,UNMATCHED_BANK,MISSING_LEDGER
SYNTH-CASE-000086,SYNTH-BANK-000086,,UNMATCHED_BANK,MISSING_LEDGER
SYNTH-CASE-000087,SYNTH-BANK-000087,SYNTH-LEDGER-000087,MATCH,NONE
SYNTH-CASE-000088,SYNTH-BANK-000088,SYNTH-LEDGER-000088,MATCH,NONE
SYNTH-CASE-000089,SYNTH-BANK-000089,SYNTH-LEDGER-000089,MATCH,NONE
SYNTH-CASE-000090,SYNTH-BANK-000090,SYNTH-LEDGER-000090,MATCH,NONE
SYNTH-CASE-000091,SYNTH-BANK-000091,SYNTH-LEDGER-000091,MATCH,NONE
SYNTH-CASE-000092,SYNTH-BANK-000092,SYNTH-LEDGER-000092,AMOUNT_MISMATCH,AMOUNT_MISMATCH
SYNTH-CASE-000093,SYNTH-BANK-000093,SYNTH-LEDGER-000093,AMOUNT_MISMATCH,AMOUNT_MISMATCH
SYNTH-CASE-000094,SYNTH-BANK-000094,SYNTH-LEDGER-000094,MATCH,NONE
SYNTH-CASE-000095,SYNTH-BANK-000095,SYNTH-LEDGER-000095,AMOUNT_MISMATCH,AMOUNT_MISMATCH
SYNTH-CASE-000096,SYNTH-BANK-000096,SYNTH-LEDGER-000096,MATCH,NONE
SYNTH-CASE-000097,SYNTH-BANK-000097,SYNTH-LEDGER-000097,MATCH,NONE
SYNTH-CASE-000098,SYNTH-BANK-000098,SYNTH-LEDGER-000098,AMBIGUOUS,AMBIGUOUS
SYNTH-CASE-000099,SYNTH-BANK-000099,SYNTH-LEDGER-000099,AMOUNT_MISMATCH,AMOUNT_MISMATCH
SYNTH-CASE-000100,SYNTH-BANK-000100,SYNTH-LEDGER-000100,MATCH,NONE
SYNTH-CASE-000101,SYNTH-BANK-000101,SYNTH-LEDGER-000101,AMOUNT_MISMATCH,AMOUNT_MISMATCH
SYNTH-CASE-000102,SYNTH-BANK-000102,SYNTH-LEDGER-000102,MATCH,NONE
SYNTH-CASE-000103,SYNTH-BANK-000103,SYNTH-LEDGER-000103,MATCH,NONE
SYNTH-CASE-000104,SYNTH-BANK-000104,SYNTH-LEDGER-000104,MATCH,NONE
SYNTH-CASE-000105,SYNTH-BANK-000105,SYNTH-LEDGER-000105,MATCH,NONE
SYNTH-CASE-000106,SYNTH-BANK-000106,SYNTH-LEDGER-000106,MATCH,NONE
SYNTH-CASE-000107,SYNTH-BANK-000107,SYNTH-LEDGER-000107,MATCH,NONE
SYNTH-CASE-000108,SYNTH-BANK-000108,SYNTH-LEDGER-000108,MATCH,NONE
SYNTH-CASE-000109,SYNTH-BANK-000109,SYNTH-LEDGER-000109,AMBIGUOUS,AMBIGUOUS
SYNTH-CASE-000110,SYNTH-BANK-000110,SYNTH-LEDGER-000110,MATCH,NONE
SYNTH-CASE-000111,SYNTH-BANK-000111,SYNTH-LEDGER-000111,MATCH,NONE
SYNTH-CASE-000112,SYNTH-BANK-000112,SYNTH-LEDGER-000112,MATCH,NONE
SYNTH-CASE-000113,SYNTH-BANK-000113,SYNTH-LEDGER-000113,AMOUNT_MISMATCH,AMOUNT_MISMATCH
SYNTH-CASE-000114,SYNTH-BANK-000114,SYNTH-LEDGER-000114,MATCH,NONE
SYNTH-CASE-000115,SYNTH-BANK-000115,SYNTH-LEDGER-000115,AMOUNT_MISMATCH,AMOUNT_MISMATCH
SYNTH-CASE-000116,SYNTH-BANK-000116,SYNTH-LEDGER-000116,MATCH,NONE
SYNTH-CASE-000117,SYNTH-BANK-000117,SYNTH-LEDGER-000117,AMOUNT_MISMATCH,AMOUNT_MISMATCH
SYNTH-CASE-000118,SYNTH-BANK-000118,SYNTH-LEDGER-000118,MATCH,NONE
SYNTH-CASE-000119,SYNTH-BANK-000119,,UNMATCHED_BANK,MISSING_LEDGER
SYNTH-CASE-000120,SYNTH-BANK-000120,SYNTH-LEDGER-000120,MATCH,NONE
SYNTH-CASE-000121,,SYNTH-LEDGER-000121,UNMATCHED_LEDGER,MISSING_BANK
SYNTH-CASE-000122,SYNTH-BANK-000122,SYNTH-LEDGER-000122,AMBIGUOUS,AMBIGUOUS
SYNTH-CASE-000123,SYNTH-BANK-000123,SYNTH-LEDGER-000123,MATCH,NONE
SYNTH-CASE-000124,,SYNTH-LEDGER-000124,UNMATCHED_LEDGER,MISSING_BANK
SYNTH-CASE-000125,SYNTH-BANK-000125,SYNTH-LEDGER-000125,MATCH,NONE
SYNTH-CASE-000126,SYNTH-BANK-000126,SYNTH-LEDGER-000126,MATCH,NONE
SYNTH-CASE-000127,SYNTH-BANK-000127,SYNTH-LEDGER-000127,MATCH,NONE
SYNTH-CASE-000128,SYNTH-BANK-000128,SYNTH-LEDGER-000128,MATCH,NONE
SYNTH-CASE-000129,SYNTH-BANK-000129,SYNTH-LEDGER-000129,MATCH,NONE
SYNTH-CASE-000130,SYNTH-BANK-000130,SYNTH-LEDGER-000130,MATCH,NONE
SYNTH-CASE-000131,SYNTH-BANK-000131,SYNTH-LEDGER-000131,DUPLICATE,DUPLICATE
SYNTH-CASE-000132,SYNTH-BANK-000132,SYNTH-LEDGER-000132,MATCH,NONE
SYNTH-CASE-000133,SYNTH-BANK-000133,SYNTH-LEDGER-000133,MATCH,NONE
SYNTH-CASE-000134,SYNTH-BANK-000134,SYNTH-LEDGER-000134,MATCH,NONE
SYNTH-CASE-000135,SYNTH-BANK-000135,SYNTH-LEDGER-000135,MATCH,NONE
SYNTH-CASE-000136,SYNTH-BANK-000136,SYNTH-LEDGER-000136,DUPLICATE,DUPLICATE
SYNTH-CASE-000137,SYNTH-BANK-000137,SYNTH-LEDGER-000137,MATCH,NONE
SYNTH-CASE-000138,SYNTH-BANK-000138,SYNTH-LEDGER-000138,MATCH,NONE
SYNTH-CASE-000139,SYNTH-BANK-000139,SYNTH-LEDGER-000139,MATCH,NONE
SYNTH-CASE-000140,SYNTH-BANK-000140,SYNTH-LEDGER-000140,MATCH,NONE
SYNTH-CASE-000141,SYNTH-BANK-000141,SYNTH-LEDGER-000141,MATCH,NONE
SYNTH-CASE-000142,SYNTH-BANK-000142,SYNTH-LEDGER-000142,MATCH,NONE
SYNTH-CASE-000143,SYNTH-BANK-000143,SYNTH-LEDGER-000143,AMOUNT_MISMATCH,AMOUNT_MISMATCH
SYNTH-CASE-000144,SYNTH-BANK-000144,SYNTH-LEDGER-000144,MATCH,NONE
SYNTH-CASE-000145,SYNTH-BANK-000145,SYNTH-LEDGER-000145,MATCH,NONE
SYNTH-CASE-000146,SYNTH-BANK-000146,SYNTH-LEDGER-000146,MATCH,NONE
SYNTH-CASE-000147,SYNTH-BANK-000147,SYNTH-LEDGER-000147,MATCH,NONE
SYNTH-CASE-000148,SYNTH-BANK-000148,SYNTH-LEDGER-000148,MATCH,NONE
SYNTH-CASE-000149,SYNTH-BANK-000149,SYNTH-LEDGER-000149,AMOUNT_MISMATCH,AMOUNT_MISMATCH
SYNTH-CASE-000150,SYNTH-BANK-000150,SYNTH-LEDGER-000150,MATCH,NONE
SYNTH-CASE-000151,SYNTH-BANK-000151,SYNTH-LEDGER-000151,AMBIGUOUS,AMBIGUOUS
SYNTH-CASE-000152,SYNTH-BANK-000152,SYNTH-LEDGER-000152,MATCH,NONE
SYNTH-CASE-000153,SYNTH-BANK-000153,SYNTH-LEDGER-000153,MATCH,NONE
SYNTH-CASE-000154,SYNTH-BANK-000154,SYNTH-LEDGER-000154,MATCH,NONE
SYNTH-CASE-000155,SYNTH-BANK-000155,SYNTH-LEDGER-000155,MATCH,NONE
SYNTH-CASE-000156,SYNTH-BANK-000156,SYNTH-LEDGER-000156,MATCH,NONE
SYNTH-CASE-000157,SYNTH-BANK-000157,SYNTH-LEDGER-000157,MATCH,NONE
SYNTH-CASE-000158,SYNTH-BANK-000158,SYNTH-LEDGER-000158,DUPLICATE,DUPLICATE
SYNTH-CASE-000159,SYNTH-BANK-000159,,UNMATCHED_BANK,MISSING_LEDGER
SYNTH-CASE-000160,SYNTH-BANK-000160,SYNTH-LEDGER-000160,MATCH,NONE
SYNTH-CASE-000161,SYNTH-BANK-000161,SYNTH-LEDGER-000161,MATCH,NONE
SYNTH-CASE-000162,SYNTH-BANK-000162,SYNTH-LEDGER-000162,MATCH,NONE
SYNTH-CASE-000163,SYNTH-BANK-000163,SYNTH-LEDGER-000163,MATCH,NONE
SYNTH-CASE-000164,SYNTH-BANK-000164,SYNTH-LEDGER-000164,AMBIGUOUS,AMBIGUOUS
SYNTH-CASE-000165,,SYNTH-LEDGER-000165,UNMATCHED_LEDGER,MISSING_BANK
SYNTH-CASE-000166,SYNTH-BANK-000166,SYNTH-LEDGER-000166,AMBIGUOUS,AMBIGUOUS
SYNTH-CASE-000167,SYNTH-BANK-000167,SYNTH-LEDGER-000167,DUPLICATE,DUPLICATE
SYNTH-CASE-000168,SYNTH-BANK-000168,SYNTH-LEDGER-000168,MATCH,NONE
SYNTH-CASE-000169,SYNTH-BANK-000169,SYNTH-LEDGER-000169,MATCH,NONE
SYNTH-CASE-000170,,SYNTH-LEDGER-000170,UNMATCHED_LEDGER,MISSING_BANK
SYNTH-CASE-000171,SYNTH-BANK-000171,SYNTH-LEDGER-000171,MATCH,NONE
SYNTH-CASE-000172,SYNTH-BANK-000172,SYNTH-LEDGER-000172,MATCH,NONE
SYNTH-CASE-000173,SYNTH-BANK-000173,SYNTH-LEDGER-000173,AMOUNT_MISMATCH,AMOUNT_MISMATCH
SYNTH-CASE-000174,SYNTH-BANK-000174,SYNTH-LEDGER-000174,MATCH,NONE
SYNTH-CASE-000175,SYNTH-BANK-000175,SYNTH-LEDGER-000175,MATCH,NONE
SYNTH-CASE-000176,,SYNTH-LEDGER-000176,UNMATCHED_LEDGER,MISSING_BANK
SYNTH-CASE-000177,SYNTH-BANK-000177,SYNTH-LEDGER-000177,MATCH,NONE
SYNTH-CASE-000178,SYNTH-BANK-000178,SYNTH-LEDGER-000178,MATCH,NONE
SYNTH-CASE-000179,SYNTH-BANK-000179,SYNTH-LEDGER-000179,MATCH,NONE
SYNTH-CASE-000180,SYNTH-BANK-000180,SYNTH-LEDGER-000180,MATCH,NONE
SYNTH-CASE-000181,SYNTH-BANK-000181,SYNTH-LEDGER-000181,DUPLICATE,DUPLICATE
SYNTH-CASE-000182,SYNTH-BANK-000182,SYNTH-LEDGER-000182,AMOUNT_MISMATCH,AMOUNT_MISMATCH
SYNTH-CASE-000183,SYNTH-BANK-000183,SYNTH-LEDGER-000183,MATCH,NONE
SYNTH-CASE-000184,SYNTH-BANK-000184,SYNTH-LEDGER-000184,MATCH,NONE
SYNTH-CASE-000185,SYNTH-BANK-000185,SYNTH-LEDGER-000185,MATCH,NONE
SYNTH-CASE-000186,SYNTH-BANK-000186,SYNTH-LEDGER-000186,MATCH,NONE
SYNTH-CASE-000187,SYNTH-BANK-000187,SYNTH-LEDGER-000187,MATCH,NONE
SYNTH-CASE-000188,SYNTH-BANK-000188,SYNTH-LEDGER-000188,MATCH,NONE
SYNTH-CASE-000189,SYNTH-BANK-000189,SYNTH-LEDGER-000189,MATCH,NONE
SYNTH-CASE-000190,SYNTH-BANK-000190,SYNTH-LEDGER-000190,AMOUNT_MISMATCH,AMOUNT_MISMATCH
SYNTH-CASE-000191,SYNTH-BANK-000191,SYNTH-LEDGER-000191,MATCH,NONE
SYNTH-CASE-000192,SYNTH-BANK-000192,SYNTH-LEDGER-000192,AMOUNT_MISMATCH,AMOUNT_MISMATCH
SYNTH-CASE-000193,SYNTH-BANK-000193,SYNTH-LEDGER-000193,MATCH,NONE
SYNTH-CASE-000194,SYNTH-BANK-000194,SYNTH-LEDGER-000194,MATCH,NONE
SYNTH-CASE-000195,SYNTH-BANK-000195,SYNTH-LEDGER-000195,MATCH,NONE
SYNTH-CASE-000196,SYNTH-BANK-000196,SYNTH-LEDGER-000196,DUPLICATE,DUPLICATE
SYNTH-CASE-000197,SYNTH-BANK-000197,SYNTH-LEDGER-000197,MATCH,NONE
SYNTH-CASE-000198,SYNTH-BANK-000198,SYNTH-LEDGER-000198,MATCH,NONE
SYNTH-CASE-000199,SYNTH-BANK-000199,SYNTH-LEDGER-000199,MATCH,NONE
SYNTH-CASE-000200,SYNTH-BANK-000200,SYNTH-LEDGER-000200,MATCH,NONE
SYNTH-CASE-000201,SYNTH-BANK-000201,SYNTH-LEDGER-000201,MATCH,NONE
SYNTH-CASE-000202,SYNTH-BANK-000202,SYNTH-LEDGER-000202,MATCH,NONE
SYNTH-CASE-000203,SYNTH-BANK-000203,SYNTH-LEDGER-000203,MATCH,NONE
SYNTH-CASE-000204,SYNTH-BANK-000204,SYNTH-LEDGER-000204,DUPLICATE,DUPLICATE
SYNTH-CASE-000205,SYNTH-BANK-000205,SYNTH-LEDGER-000205,MATCH,NONE
SYNTH-CASE-000206,SYNTH-BANK-000206,SYNTH-LEDGER-000206,MATCH,NONE
SYNTH-CASE-000207,SYNTH-BANK-000207,SYNTH-LEDGER-000207,AMBIGUOUS,AMBIGUOUS
SYNTH-CASE-000208,SYNTH-BANK-000208,SYNTH-LEDGER-000208,AMBIGUOUS,AMBIGUOUS
SYNTH-CASE-000209,SYNTH-BANK-000209,SYNTH-LEDGER-000209,MATCH,NONE
SYNTH-CASE-000210,SYNTH-BANK-000210,SYNTH-LEDGER-000210,MATCH,NONE
SYNTH-CASE-000211,SYNTH-BANK-000211,SYNTH-LEDGER-000211,MATCH,NONE
SYNTH-CASE-000212,SYNTH-BANK-000212,SYNTH-LEDGER-000212,AMBIGUOUS,AMBIGUOUS
SYNTH-CASE-000213,SYNTH-BANK-000213,SYNTH-LEDGER-000213,MATCH,NONE
SYNTH-CASE-000214,SYNTH-BANK-000214,SYNTH-LEDGER-000214,MATCH,NONE
SYNTH-CASE-000215,SYNTH-BANK-000215,SYNTH-LEDGER-000215,MATCH,NONE
SYNTH-CASE-000216,SYNTH-BANK-000216,SYNTH-LEDGER-000216,DUPLICATE,DUPLICATE
SYNTH-CASE-000217,SYNTH-BANK-000217,SYNTH-LEDGER-000217,MATCH,NONE
SYNTH-CASE-000218,SYNTH-BANK-000218,SYNTH-LEDGER-000218,MATCH,NONE
SYNTH-CASE-000219,SYNTH-BANK-000219,SYNTH-LEDGER-000219,MATCH,NONE
SYNTH-CASE-000220,SYNTH-BANK-000220,SYNTH-LEDGER-000220,MATCH,NONE
SYNTH-CASE-000221,SYNTH-BANK-000221,SYNTH-LEDGER-000221,DUPLICATE,DUPLICATE
SYNTH-CASE-000222,SYNTH-BANK-000222,SYNTH-LEDGER-000222,MATCH,NONE
SYNTH-CASE-000223,SYNTH-BANK-000223,SYNTH-LEDGER-000223,MATCH,NONE
SYNTH-CASE-000224,SYNTH-BANK-000224,SYNTH-LEDGER-000224,DUPLICATE,DUPLICATE
SYNTH-CASE-000225,,SYNTH-LEDGER-000225,UNMATCHED_LEDGER,MISSING_BANK
SYNTH-CASE-000226,SYNTH-BANK-000226,SYNTH-LEDGER-000226,MATCH,NONE
SYNTH-CASE-000227,SYNTH-BANK-000227,SYNTH-LEDGER-000227,AMBIGUOUS,AMBIGUOUS
SYNTH-CASE-000228,SYNTH-BANK-000228,SYNTH-LEDGER-000228,AMBIGUOUS,AMBIGUOUS
SYNTH-CASE-000229,SYNTH-BANK-000229,SYNTH-LEDGER-000229,AMOUNT_MISMATCH,AMOUNT_MISMATCH
SYNTH-CASE-000230,SYNTH-BANK-000230,SYNTH-LEDGER-000230,MATCH,NONE
SYNTH-CASE-000231,SYNTH-BANK-000231,SYNTH-LEDGER-000231,MATCH,NONE
SYNTH-CASE-000232,SYNTH-BANK-000232,SYNTH-LEDGER-000232,MATCH,NONE
SYNTH-CASE-000233,SYNTH-BANK-000233,SYNTH-LEDGER-000233,MATCH,NONE
SYNTH-CASE-000234,SYNTH-BANK-000234,SYNTH-LEDGER-000234,AMOUNT_MISMATCH,AMOUNT_MISMATCH
SYNTH-CASE-000235,SYNTH-BANK-000235,SYNTH-LEDGER-000235,MATCH,NONE
SYNTH-CASE-000236,SYNTH-BANK-000236,SYNTH-LEDGER-000236,MATCH,NONE
SYNTH-CASE-000237,SYNTH-BANK-000237,SYNTH-LEDGER-000237,DUPLICATE,DUPLICATE
SYNTH-CASE-000238,SYNTH-BANK-000238,SYNTH-LEDGER-000238,MATCH,NONE
SYNTH-CASE-000239,SYNTH-BANK-000239,SYNTH-LEDGER-000239,MATCH,NONE
SYNTH-CASE-000240,SYNTH-BANK-000240,SYNTH-LEDGER-000240,MATCH,NONE
SYNTH-CASE-000241,SYNTH-BANK-000241,SYNTH-LEDGER-000241,MATCH,NONE
SYNTH-CASE-000242,SYNTH-BANK-000242,SYNTH-LEDGER-000242,MATCH,NONE
SYNTH-CASE-000243,SYNTH-BANK-000243,SYNTH-LEDGER-000243,MATCH,NONE
SYNTH-CASE-000244,SYNTH-BANK-000244,SYNTH-LEDGER-000244,MATCH,NONE
SYNTH-CASE-000245,SYNTH-BANK-000245,SYNTH-LEDGER-000245,MATCH,NONE
SYNTH-CASE-000246,SYNTH-BANK-000246,SYNTH-LEDGER-000246,AMOUNT_MISMATCH,AMOUNT_MISMATCH
SYNTH-CASE-000247,SYNTH-BANK-000247,SYNTH-LEDGER-000247,AMBIGUOUS,AMBIGUOUS
SYNTH-CASE-000248,SYNTH-BANK-000248,SYNTH-LEDGER-000248,MATCH,NONE
SYNTH-CASE-000249,SYNTH-BANK-000249,SYNTH-LEDGER-000249,AMOUNT_MISMATCH,AMOUNT_MISMATCH
SYNTH-CASE-000250,SYNTH-BANK-000250,SYNTH-LEDGER-000250,MATCH,NONE
SYNTH-CASE-000251,SYNTH-BANK-000251,,UNMATCHED_BANK,MISSING_LEDGER
SYNTH-CASE-000252,,SYNTH-LEDGER-000252,UNMATCHED_LEDGER,MISSING_BANK
SYNTH-CASE-000253,SYNTH-BANK-000253,SYNTH-LEDGER-000253,AMOUNT_MISMATCH,AMOUNT_MISMATCH
SYNTH-CASE-000254,SYNTH-BANK-000254,SYNTH-LEDGER-000254,MATCH,NONE
SYNTH-CASE-000255,SYNTH-BANK-000255,SYNTH-LEDGER-000255,MATCH,NONE
SYNTH-CASE-000256,SYNTH-BANK-000256,SYNTH-LEDGER-000256,MATCH,NONE
SYNTH-CASE-000257,SYNTH-BANK-000257,SYNTH-LEDGER-000257,MATCH,NONE
SYNTH-CASE-000258,SYNTH-BANK-000258,SYNTH-LEDGER-000258,AMOUNT_MISMATCH,AMOUNT_MISMATCH
SYNTH-CASE-000259,SYNTH-BANK-000259,SYNTH-LEDGER-000259,MATCH,NONE
