ledger_id,timestamp,amount,direction,merchant,reference,invoice_id
SYNTH-LEDGER-000110,2026-06-02 18:37:00,273.06,CREDIT,Urban Company India,UPI-998944,SYNTH-INV-000110
SYNTH-LEDGER-000111,2026-05-23 22:11:00,848.51,DEBIT,IRCTC,UPI107938,SYNTH-INV-000111
SYNTH-LEDGER-000112,2026-06-01 01:21:00,246.98,DEBIT,MYNTRA,UPI675123,SYNTH-INV-000112
SYNTH-LEDGER-000113,2026-05-19 17:24:00,570.76,CREDIT,Flipkart Internet,UPI944810,SYNTH-INV-000113
SYNTH-LEDGER-000114,2026-07-29 02:07:00,622.03,DEBIT,Apollo Pharmacy Ltd,UPI-623654,SYNTH-INV-000114
SYNTH-LEDGER-000115,2026-05-04 18:31:00,1719.57,CREDIT,BMS,UPI388764,SYNTH-INV-000115
SYNTH-LEDGER-000116,2026-06-22 04:42:00,988.36,DEBIT,DECATHLON INDIA,UPI-673002,SYNTH-INV-000116
SYNTH-LEDGER-000117,2026-05-31 09:41:00,1306.72,CREDIT,Decathlon Sports,UPI579165,SYNTH-INV-000117
SYNTH-LEDGER-000118,2026-06-10 13:05:00,260.29,DEBIT,APOLLO,UPI-986204,SYNTH-INV-000118
SYNTH-LEDGER-000120,2026-05-26 03:11:00,1986.57,CREDIT,Decathlon Sports,UPI-930814,SYNTH-INV-000120
SYNTH-LEDGER-000121,2026-05-03 09:01:00,1611.8,CREDIT,RELIANCE RETAIL,UPI863912,SYNTH-INV-000121
SYNTH-LEDGER-000122,2026-06-10 09:43:00,542.63,CREDIT,Decathlon Sports,UPI506688,SYNTH-INV-000122
SYNTH-LEDGER-000123,2026-07-20 18:13:00,1350.19,CREDIT,OLA CABS,UPI634591,SYNTH-INV-000123
SYNTH-LEDGER-000124,2026-07-01 17:25:00,2307.75,CREDIT,IRCTC E-TICKETING,UPI235035,SYNTH-INV-000124
SYNTH-LEDGER-000125,2026-07-05 14:41:00,489.95,DEBIT,BOOKMYSHOW.COM,UPI-884113,SYNTH-INV-000125
SYNTH-LEDGER-000126,2026-07-23 06:26:00,3494.95,CREDIT,Croma Electronics,UPI529509,SYNTH-INV-000126
SYNTH-LEDGER-000127,2026-05-05 12:20:00,851.9,CREDIT,NYKAA.COM,UPI392854,SYNTH-INV-000127
SYNTH-LEDGER-000128,2026-05-23 15:57:00,1393.82,DEBIT,AMAZON,UPI-649363,SYNTH-INV-000128
SYNTH-LEDGER-000129,2026-07-04 10:17:00,666.93,CREDIT,BIGBASKET,UPI-725374,SYNTH-INV-000129
SYNTH-LEDGER-000130,2026-07-18 04:50:00,374.96,CREDIT,BOOKMYSHOW,UPI301231,SYNTH-INV-000130
SYNTH-LEDGER-000131,2026-05-17 06:50:00,791.67,CREDIT,Big Basket,UPI647727,SYNTH-INV-000131
SYNTH-LEDGER-000132,2026-06-18 07:30:00,1909.14,DEBIT,Decathlon Sports,UPI116074,SYNTH-INV-000132
SYNTH-LEDGER-000133,2026-05-02 11:16:00,843.62,DEBIT,DOMINOS,UPI309360,SYNTH-INV-000133
SYNTH-LEDGER-000134,2026-07-11 10:12:00,134.59,CREDIT,UBER,UPI170340,SYNTH-INV-000134
SYNTH-LEDGER-000135,2026-06-25 16:59:00,2589.16,CREDIT,Decathlon Sports,UPI-696399,SYNTH-INV-000135
SYNTH-LEDGER-000136,2026-07-03 15:23:00,283.99,CREDIT,METRO INDIA,UPI756801,SYNTH-INV-000136
SYNTH-LEDGER-000137,2026-06-16 06:24:00,490.67,DEBIT,BIGBASKET,UPI217387,SYNTH-INV-000137
SYNTH-LEDGER-000138,2026-07-27 16:18:00,330.53,CREDIT,CROMA RETAIL,UPI257326,SYNTH-INV-000138
SYNTH-LEDGER-000139,2026-07-25 04:59:00,435.94,DEBIT,METRO RETAIL,UPI691007,SYNTH-INV-000139
SYNTH-LEDGER-000140,2026-07-11 01:13:00,657.77,DEBIT,NYKAA,UPI317529,SYNTH-INV-000140
SYNTH-LEDGER-000141,2026-05-24 14:00:00,233.88,CREDIT,MYNTRA PAY,UPI505792,SYNTH-INV-000141
SYNTH-LEDGER-000142,2026-07-17 13:42:00,624.32,CREDIT,BIGBASKET,UPI-405762,SYNTH-INV-000142
SYNTH-LEDGER-000143,2026-07-08 05:14:00,300.81,DEBIT,RELIANCE DIGITAL,UPI758144,SYNTH-INV-000143
SYNTH-LEDGER-000144,2026-07-16 05:27:00,2371.13,DEBIT,APOLLO PHARMACY,UPI-326275,SYNTH-INV-000144
SYNTH-LEDGER-000145,2026-06-02 03:32:00,742.27,CREDIT,Uber Technologies,UPI896582,SYNTH-INV-000145
SYNTH-LEDGER-000146,2026-05-15 02:46:00,1726.58,CREDIT,UBER,UPI509252,SYNTH-INV-000146
SYNTH-LEDGER-000147,2026-07-02 11:30:00,1005.46,CREDIT,Decathlon Sports,UPI472917,SYNTH-INV-000147
SYNTH-LEDGER-000148,2026-05-04 06:10:00,439.14,CREDIT,CROMA,UPI-783747,SYNTH-INV-000148
SYNTH-LEDGER-000149,2026-06-11 02:02:00,1869.71,CREDIT,Decathlon Sports,UPI323464,SYNTH-INV-000149
SYNTH-LEDGER-000150,2026-05-01 21:37:00,993.3,CREDIT,DOMINO'S PIZZA,UPI440053,SYNTH-INV-000150
SYNTH-LEDGER-000151,2026-05-03 08:07:00,661.47,CREDIT,Reliance Retail Ltd,UPI764217,SYNTH-INV-000151
SYNTH-LEDGER-000152,2026-07-10 20:01:00,1806.36,CREDIT,IRCTC E-TICKETING,UPI981913,SYNTH-INV-000152
SYNTH-LEDGER-000153,2026-07-21 17:25:00,1507.12,CREDIT,Big Basket,UPI356326,SYNTH-INV-000153
SYNTH-LEDGER-000154,2026-07-24 00:05:00,855.01,CREDIT,SWIGGY*BLR,UPI-963857,SYNTH-INV-000154
SYNTH-LEDGER-000155,2026-07-11 19:23:00,2785.23,CREDIT,DOMINO'S PIZZA,UPI402656,SYNTH-INV-000155
SYNTH-LEDGER-000156,2026-06-11 02:40:00,1918.57,CREDIT,UBER INDIA,UPI236173,SYNTH-INV-000156
SYNTH-LEDGER-000157,2026-05-03 01:09:00,1352.28,CREDIT,SWIGGY,UPI217829,SYNTH-INV-000157
SYNTH-LEDGER-000158,2026-05-09 13:09:00,1715.62,CREDIT,CROMA RETAIL,UPI988293,SYNTH-INV-000158
SYNTH-LEDGER-000160,2026-06-10 17:16:00,1833.43,DEBIT,Apollo Pharmacy Ltd,UPI876398,SYNTH-INV-000160
SYNTH-LEDGER-000161,2026-07-22 10:37:00,828.8,CREDIT,DECATHLON INDIA,UPI978873,SYNTH-INV-000161
SYNTH-LEDGER-000162,2026-05-04 04:05:00,2085.38,CREDIT,Swiggy India,UPI516113,SYNTH-INV-000162
SYNTH-LEDGER-000163,2026-06-03 22:05:00,2397.2,CREDIT,BIGBASKET INDIA,UPI337127,SYNTH-INV-000163
SYNTH-LEDGER-000164,2026-07-04 21:18:00,418.01,DEBIT,ZOMATO,UPI150135,SYNTH-INV-000164
SYNTH-LEDGER-000165,2026-05-20 14:48:00,1295.65,CREDIT,SWIGGY,UPI767104,SYNTH-INV-000165
SYNTH-LEDGER-000166,2026-06-21 04:34:00,2919.28,CREDIT,Uber Technologies,UPI545140,SYNTH-INV-000166
SYNTH-LEDGER-000167,2026-06-01 08:00:00,1858.28,DEBIT,BOOKMYSHOW.COM,UPI217676,SYNTH-INV-000167
SYNTH-LEDGER-000168,2026-06-24 23:21:00,763.59,CREDIT,OLA,UPI-716613,SYNTH-INV-000168
SYNTH-LEDGER-000169,2026-06-17 18:58:00,1595.34,CREDIT,RELIANCE DIGITAL,UPI246570,SYNTH-INV-000169
SYNTH-LEDGER-000170,2026-05-17 09:18:00,1171.25,DEBIT,DOMINOS,UPI644622,SYNTH-INV-000170
SYNTH-LEDGER-000171,2026-05-24 16:04:00,417.75,CREDIT,BIGBASKET INDIA,UPI-135604,SYNTH-INV-000171
SYNTH-LEDGER-000172,2026-05-26 00:41:00,780.43,CREDIT,Flipkart Internet,UPI921201,SYNTH-INV-000172
SYNTH-LEDGER-000173,2026-07-28 14:24:00,555.77,CREDIT,IRCTC,UPI405106,SYNTH-INV-000173
SYNTH-LEDGER-000174,2026-05-21 17:06:00,1351.42,DEBIT,METRO RETAIL,UPI281902,SYNTH-INV-000174
SYNTH-LEDGER-000175,2026-07-23 22:47:00,844.8,CREDIT,DECATHLON INDIA,UPI129999,SYNTH-INV-000175
SYNTH-LEDGER-000176,2026-07-06 09:08:00,1324.75,CREDIT,Urban Company India,UPI859844,SYNTH-INV-000176
SYNTH-LEDGER-000177,2026-07-09 09:41:00,2161.58,CREDIT,Uber Technologies,UPI-161259,SYNTH-INV-000177
SYNTH-LEDGER-000178,2026-07-23 19:28:00,1454.72,CREDIT,METRO INDIA,UPI-994841,SYNTH-INV-000178
SYNTH-LEDGER-000179,2026-06-29 10:35:00,972.94,DEBIT,IRCTC E-TICKETING,UPI822565,SYNTH-INV-000179
SYNTH-LEDGER-000180,2026-06-01 16:57:00,1406.16,CREDIT,MYNTRA,UPI188094,SYNTH-INV-000180
SYNTH-LEDGER-000181,2026-05-05 04:46:00,1392.72,CREDIT,Myntra Designs,UPI865430,SYNTH-INV-000181
SYNTH-LEDGER-000182,2026-05-05 17:30:00,1235.75,DEBIT,DOMINO'S PIZZA,UPI891469,SYNTH-INV-000182
SYNTH-LEDGER-000183,2026-07-08 12:08:00,1240.46,CREDIT,APOLLO PHARMACY,UPI395026,SYNTH-INV-000183
SYNTH-LEDGER-000184,2026-05-24 13:02:00,1387.09,CREDIT,URBANCLAP,UPI647545,SYNTH-INV-000184
SYNTH-LEDGER-000185,2026-06-13 20:53:00,1291.52,DEBIT,MYNTRA PAY,UPI841520,SYNTH-INV-000185
SYNTH-LEDGER-000186,2026-07-11 00:05:00,659.16,CREDIT,BMS,UPI-933921,SYNTH-INV-000186
SYNTH-LEDGER-000187,2026-05-21 18:43:00,3085.33,CREDIT,Decathlon Sports,UPI-836403,SYNTH-INV-000187
SYNTH-LEDGER-000188,2026-07-24 00:53:00,1612.85,DEBIT,Nykaa E-Retail,UPI334206,SYNTH-INV-000188
SYNTH-LEDGER-000189,2026-05-17 15:11:00,913.05,CREDIT,SWIGGY,UPI834310,SYNTH-INV-000189
SYNTH-LEDGER-000190,2026-05-24 15:42:00,604.1,DEBIT,DOMINO'S PIZZA,UPI335112,SYNTH-INV-000190
SYNTH-LEDGER-000191,2026-05-18 02:52:00,1539.91,CREDIT,URBANCLAP,UPI400103,SYNTH-INV-000191
SYNTH-LEDGER-000192,2026-06-12 18:31:00,561.61,DEBIT,IRCTC RAIL,UPI240662,SYNTH-INV-000192
SYNTH-LEDGER-000193,2026-05-29 16:30:00,1929.74,DEBIT,CROMA RETAIL,UPI-885277,SYNTH-INV-000193
SYNTH-LEDGER-000194,2026-05-09 06:35:00,333.0,DEBIT,Big Basket,UPI409900,SYNTH-INV-000194
SYNTH-LEDGER-000195,2026-07-01 19:58:00,958.47,CREDIT,FLIPKART,UPI-507204,SYNTH-INV-000195
SYNTH-LEDGER-000196,2026-07-21 05:25:00,1721.32,CREDIT,BOOKMYSHOW.COM,UPI631951,SYNTH-INV-000196
SYNTH-LEDGER-000197,2026-05-11 20:42:00,5889.55,CREDIT,METRO RETAIL,UPI688356,SYNTH-INV-000197
SYNTH-LEDGER-000198,2026-05-09 20:03:00,325.28,DEBIT,BOOKMYSHOW.COM,UPI-539357,SYNTH-INV-000198
SYNTH-LEDGER-000199,2026-07-24 20:47:00,1811.33,CREDIT,Ola Mobility,UPI431509,SYNTH-INV-000199
SYNTH-LEDGER-000200,2026-05-06 19:56:00,1233.59,CREDIT,IRCTC,UPI-269317,SYNTH-INV-000200
SYNTH-LEDGER-000201,2026-05-29 00:48:00,1021.18,CREDIT,ZOMATO*BANGALORE,UPI664256,SYNTH-INV-000201
SYNTH-LEDGER-000202,2026-06-18 10:29:00,1284.57,CREDIT,UBER,UPI339091,SYNTH-INV-000202
SYNTH-LEDGER-000203,2026-05-12 10:39:00,1666.23,CREDIT,Swiggy India,UPI918816,SYNTH-INV-000203
SYNTH-LEDGER-000204,2026-06-08 23:48:00,2501.8,CREDIT,NYKAA,UPI116968,SYNTH-INV-000204
SYNTH-LEDGER-000205,2026-06-10 07:21:00,1212.57,DEBIT,ZOMATO,UPI605807,SYNTH-INV-000205
SYNTH-LEDGER-000206,2026-06-16 01:42:00,393.82,CREDIT,AMAZON,UPI933930,SYNTH-INV-000206
SYNTH-LEDGER-000207,2026-06-23 13:09:00,536.54,CREDIT,ZOMATO*BANGALORE,UPI858209,SYNTH-INV-000207
SYNTH-LEDGER-000208,2026-07-04 04:28:00,6058.83,CREDIT,RELIANCE RETAIL,UPI294643,SYNTH-INV-000208
SYNTH-LEDGER-000209,2026-05-03 05:22:00,457.1,CREDIT,IRCTC RAIL,UPI-269293,SYNTH-INV-000209
SYNTH-LEDGER-000210,2026-05-19 18:23:00,1165.32,DEBIT,DOMINO'S PIZZA,UPI-174940,SYNTH-INV-000210
SYNTH-LEDGER-000211,2026-05-18 20:12:00,655.62,CREDIT,Decathlon Sports,UPI-974862,SYNTH-INV-000211
SYNTH-LEDGER-000212,2026-05-29 01:24:00,768.54,DEBIT,Flipkart Internet,UPI655083,SYNTH-INV-000212
SYNTH-LEDGER-000213,2026-05-01 19:40:00,2876.5,DEBIT,AMAZON,UPI381812,SYNTH-INV-000213
SYNTH-LEDGER-000214,2026-05-22 23:49:00,2605.6,CREDIT,IRCTC,UPI537440,SYNTH-INV-000214
SYNTH-LEDGER-000215,2026-06-17 08:09:00,2706.78,DEBIT,DECATHLON INDIA,UPI-656002,SYNTH-INV-000215
SYNTH-LEDGER-000216,2026-06-05 16:03:00,1036.75,CREDIT,ZOMATO*BANGALORE,UPI446214,SYNTH-INV-000216
SYNTH-LEDGER-000217,2026-05-27 06:01:00,1893.94,DEBIT,RELIANCE RETAIL,UPI842069,SYNTH-INV-000217
